founder	side	K_f	max_jacc_other	mean_jacc_to_cactus	mean_jacc_to_PG	nn_founder	nn_side	h_filt2	h_hf	err	accession_name
7103	PG	2214292	0.6931215020487356	0.6013545144514028	0.623878108755394	7203	PG	0.0009012584937283257	0.002584	-0.001682741506271674	NA
7106	PG	2226231	0.6911722081821892	0.6043321807754295	0.6278805415568711	6243	PG	0.006473376795881508	0.007076	-0.0006026232041184921	NA
7125	PG	2238146	0.6863941997296027	0.6037601729296093	0.6262393015754467	7062	PG	0.001322583584641562	0.00249	-0.001167416415358438	NA
7126	PG	2211937	0.6672084888656667	0.6006771373433224	0.6224384210481809	6073	PG	0.0035746523659142475	0.005329	-0.001754347634085753	NA
7165	PG	2237765	0.6605256688138135	0.5972368240829211	0.617295699962866	9925	PG	0.0017749813842021852	0.00337	-0.001595018615797815	NA
7203	PG	2239713	0.6931215020487356	0.5987007202937105	0.6211875509274631	7103	PG	0.002907382937074863	0.003156	-0.0002486170629251369	NA
7209	PG	2283782	0.9792885446810873	0.5928873087317345	0.608989766134187	6932	cactus	0.013564860358109537	0.005536	0.008028860358109537	NA
7218	PG	2215360	0.6716012258859643	0.6015628603227442	0.6253759708656543	7031	PG	0.0012009214083623522	0.003827	-0.002626078591637648	NA
7244	PG	2224892	0.6620479571262007	0.6004193875019769	0.6212584382297893	9925	PG	0.0020647955031150547	0.003757	-0.0016922044968849452	NA
7268	PG	2215228	0.6792225676471032	0.6012468035989036	0.6253631022026148	7287	PG	0.0025307599968081764	0.003544	-0.0010132400031918234	NA
7273	PG	2237421	0.6890546087440719	0.5969101754655552	0.6211691662325746	7296	PG	0.005015585761250252	0.004356	0.0006595857612502528	No-0
7276	PG	2216745	0.6877181366393449	0.6087941169296492	0.6321623177032714	7031	PG	0.0019151306652491784	0.004227	-0.0023118693347508215	NA
7282	PG	2232808	0.6797917948197016	0.6052750944132934	0.6267874641312471	9774	PG	0.0035983745519733317	0.00638	-0.0027816254480266685	NA
7287	PG	2235585	0.7112494376376131	0.5994927597264803	0.6211848012261463	7404	PG	0.002899874613497204	0.003596	-0.0006961253865027956	NA
7296	PG	2227681	0.6890546087440719	0.601909340408532	0.6251898269330333	7273	PG	0.0032153534247829885	0.004323	-0.001107646575217011	NA
