label	n	MAE	RMSE	R2	slope	intercept	sample	h_sum
SNP	2095709	0.025511331856250763	0.04546365141868591	0.9658086799367359	0.9771364235871012	9.03875270044664e-05	MLFH040120200206	0.9999960660934448
INS	54367	0.016183389350771904	0.03419437259435654	0.8821446323522683	0.9210138733132747	0.0007000778857684363	MLFH040120200206	0.9999960660934448
DEL	29162	0.01970004104077816	0.038263529539108276	0.9532521305049494	0.9688568996706457	-0.0003020874540333562	MLFH040120200206	0.9999960660934448
SV_all	83529	0.017411138862371445	0.035667795687913895	0.9286924518589881	0.952509158285892	-0.00017225034929464425	MLFH040120200206	0.9999960660934448
SV_med_50-500bp	39627	0.019680865108966827	0.03939986974000931	0.9350447354265568	0.9553118819861113	0.00042197710668557696	MLFH040120200206	0.9999960660934448
SV_big_500-5kb	35584	0.015325685031712055	0.03189897537231445	0.9187701584588879	0.9478140003990551	-0.0005335668331193266	MLFH040120200206	0.9999960660934448
SV_huge_>=5kb	8318	0.015519610606133938	0.03204506263136864	0.876310186967504	0.9252244145115469	-0.0004075796580708993	MLFH040120200206	0.9999960660934448
all_poly	2594342	0.018901998177170753	0.03125348314642906	0.9800130673840777	0.983267267447106	-0.0015359778468075275	MLFH040220180306	1.0000030994415283
SNP	2474280	0.019257638603448868	0.031651925295591354	0.9800624253359771	0.9835491793371377	-0.0015694695179724561	MLFH040220180306	1.0000030994415283
INS	79779	0.010747452266514301	0.02017725072801113	0.9137096843340451	0.9132812392675753	0.0005614613104328143	MLFH040220180306	1.0000030994415283
DEL	40283	0.013207454234361649	0.02378002181649208	0.9728949741095719	0.9701461973919913	-0.000614147663579932	MLFH040220180306	1.0000030994415283
SV_all	120062	0.011572827585041523	0.02145359478890896	0.9556959378718651	0.9535423571340393	-0.00036660182884339527	MLFH040220180306	1.0000030994415283
SV_med_50-500bp	54302	0.013279303908348083	0.024287788197398186	0.9612071385103642	0.9597347154054745	-0.00019966196355433066	MLFH040220180306	1.0000030994415283
SV_big_500-5kb	52854	0.010261868126690388	0.018956445157527924	0.9452505471504886	0.9409741750794822	-0.000278233901467552	MLFH040220180306	1.0000030994415283
SV_huge_>=5kb	12906	0.009761600755155087	0.01811225526034832	0.9150381781552901	0.92024548064609	-0.0003851720768409995	MLFH040220180306	1.0000030994415283
all_poly	2781520	0.01705939508974552	0.028276486322283745	0.9812072921157199	0.9879164079507878	-0.001448045455404515	MLFH040220180321	1.0000050067901611
SNP	2652076	0.017389867454767227	0.028651978820562363	0.981270177698541	0.9880785252944269	-0.0014559693100198784	MLFH040220180321	1.0000050067901611
INS	86041	0.0095022888854146	0.01763078197836876	0.9168528111490231	0.9355159750868434	-0.00028620355057897386	MLFH040220180321	1.0000050067901611
DEL	43403	0.011847482062876225	0.021499153226614	0.9733780026851734	0.9807684095664977	-0.0011512904172959657	MLFH040220180321	1.0000050067901611
SV_all	129444	0.010288639925420284	0.019015757367014885	0.957439514642911	0.9679059794579835	-0.0009473830831206614	MLFH040220180321	1.0000050067901611
SV_med_50-500bp	56410	0.011949380859732628	0.021958928555250168	0.962678632655367	0.974285591985515	-0.0009225954146214311	MLFH040220180321	1.0000050067901611
SV_big_500-5kb	57959	0.009178570471704006	0.016707753762602806	0.9471561874643244	0.9546534983469679	-0.0008005001890207951	MLFH040220180321	1.0000050067901611
SV_huge_>=5kb	15075	0.008342108689248562	0.015077556483447552	0.9199808315109014	0.9407963260182491	-0.0008313646026519227	MLFH040220180321	1.0000050067901611
all_poly	2197442	0.03377999737858772	0.05480397492647171	0.9457733332611707	0.953654132419952	0.003345292872980397	MLFH040220190208	0.9999960660934448
SNP	2112352	0.034273356199264526	0.05535970628261566	0.945820876189979	0.9536870341961251	0.003545857976992552	MLFH040220190208	0.9999960660934448
INS	55270	0.019823670387268066	0.03594060242176056	0.835217797694226	0.8578407232538372	0.001993836147088174	MLFH040220190208	0.9999960660934448
DEL	29820	0.024700116366147995	0.042889878153800964	0.9340795535744295	0.940135203907416	0.0010467617947973646	MLFH040220190208	0.9999960660934448
SV_all	85090	0.021532634273171425	0.03851895406842232	0.9029164947721655	0.9147514248105358	0.000666784280540291	MLFH040220190208	0.9999960660934448
SV_med_50-500bp	40544	0.024280231446027756	0.04230011627078056	0.9139527796775454	0.9227279954008594	0.0017681900297199793	MLFH040220190208	0.9999960660934448
SV_big_500-5kb	36175	0.019167734310030937	0.03490044176578522	0.8825013071026938	0.8978005933201467	8.519492067092205e-05	MLFH040220190208	0.9999960660934448
SV_huge_>=5kb	8371	0.018444787710905075	0.03393670916557312	0.8307549278361016	0.8635636109190286	0.00032152145594539045	MLFH040220190208	0.9999960660934448
all_poly	2289698	0.031535908579826355	0.049098748713731766	0.9525402480520371	0.9688867394534355	0.0009908001720939782	MLFH040220190221	1.0000040531158447
SNP	2200170	0.03194306045770645	0.04956012964248657	0.9526839149397001	0.9690006001445144	0.0011220258920219403	MLFH040220190221	1.0000040531158447
INS	58528	0.01998031884431839	0.033706679940223694	0.8230335013731382	0.8690738136816114	0.0012181841550172963	MLFH040220190221	1.0000040531158447
DEL	31000	0.024456331506371498	0.039828360080718994	0.9369578465210079	0.9545310562182607	-0.0005134874033193701	MLFH040220190221	1.0000040531158447
SV_all	89528	0.021530184894800186	0.03594456985592842	0.9028008354809961	0.9292120914431852	-0.00038241792073057703	MLFH040220190221	1.0000040531158447
SV_med_50-500bp	41908	0.024223649874329567	0.03971309959888458	0.915058460450408	0.9388452715161162	0.0002830535444893551	MLFH040220190221	1.0000040531158447
SV_big_500-5kb	38491	0.019239019602537155	0.032422374933958054	0.8790302042760995	0.9097067563307997	-0.0005233610891398046	MLFH040220190221	1.0000040531158447
SV_huge_>=5kb	9129	0.018825778737664223	0.03159807622432709	0.8218782055008458	0.8680408765065766	-0.00037879733048021893	MLFH040220190221	1.0000040531158447
all_poly	2329299	0.024398483335971832	0.04008426144719124	0.9698914092326915	0.9764871828447386	-0.0010659180076323608	MLFH040220200212	0.9999890923500061
SNP	2233439	0.024763209745287895	0.04047204554080963	0.9700047358310294	0.9767103651453493	-0.001058695901351257	MLFH040220200212	0.9999890923500061
INS	62761	0.014692210592329502	0.027932649478316307	0.8865489741415501	0.9095969330597096	0.0005133436423855574	MLFH040220200212	0.9999890923500061
DEL	33099	0.01819225586950779	0.03264996036887169	0.9583975155632315	0.9652096269944224	-0.0005923085731624902	MLFH040220200212	0.9999890923500061
SV_all	95860	0.01590072363615036	0.029646430164575577	0.9358387262752966	0.9478440916101512	-0.0004607011692553967	MLFH040220200212	0.9999890923500061
