label	n	MAE	RMSE	R2	slope	intercept	sample	n_svs_in_bin
2.weak_0.2-0.5	3819	0.015526572401152135	0.029640421574214256	0.9623425099992409	0.9409646589175548	0.0009956379122317092	MLFH040320190221	3867
3.medium_0.5-0.8	5086	0.014906213134093594	0.027794169292805874	0.9541066131925805	0.9295996979303404	0.0009237348136451371	MLFH040320190221	5117
4.strong_>=0.8	7589	0.01345171827645276	0.02587104483289796	0.9373806361050576	0.9089656749965254	0.0008866762857508885	MLFH040320190221	7621
SV_all	16673	0.014421973250164937	0.02746352335328279	0.9531734500251619	0.927844077795187	0.0008197962829600883	MLFH040320190221	16784
1.untagged_<0.2	175	0.026402000000000002	0.0644471800247525	0.9491560074069265	0.8649727336363783	0.004904848062531425	MLFH040320200206	175
2.weak_0.2-0.5	3517	0.018380702303099232	0.04508288834874298	0.9413644786858076	0.9174728742625445	0.001224113932222665	MLFH040320200206	3558
3.medium_0.5-0.8	4710	0.0175040042462845	0.043517162443985485	0.9335248348320825	0.9134399113103517	0.0013880446392235657	MLFH040320200206	4741
4.strong_>=0.8	7217	0.015914634889843425	0.04254433753881147	0.9118646955919766	0.8731805186549061	0.0017249040541702071	MLFH040320200206	7240
SV_all	15619	0.01706671745950445	0.04372200027661983	0.9288101584226542	0.8992967302121658	0.0014683126479974906	MLFH040320200206	15714
1.untagged_<0.2	196	0.018459591836734696	0.03352561830381449	0.9806042346200974	0.9396582241274042	-0.0004578375125193721	MLFH040420180306	196
2.weak_0.2-0.5	4150	0.013623351807228918	0.024128523841525914	0.9723674669523035	0.9498252184931218	0.0005089713763143646	MLFH040420180306	4208
3.medium_0.5-0.8	5589	0.013167679370191445	0.022826533613808504	0.964465142948643	0.9430363120609287	0.0008539099842026463	MLFH040420180306	5626
4.strong_>=0.8	8362	0.012284827792394162	0.02152331553205653	0.9477005903945832	0.9205918353515502	0.0008631852601213459	MLFH040420180306	8396
SV_all	18297	0.012924243318576814	0.022692753542808513	0.9631626522010445	0.9388848831604283	0.0006455399456497939	MLFH040420180306	18426
1.untagged_<0.2	200	0.01362565	0.023539996399744842	0.989708387155549	0.955081374325685	0.0010775457464660004	MLFH040420180321	200
2.weak_0.2-0.5	4294	0.012883819282720076	0.022923623599032224	0.972562310167554	0.9599880240049069	5.1765262842550205e-05	MLFH040420180321	4345
3.medium_0.5-0.8	5776	0.012525515927977838	0.0218036786705015	0.9638100108291525	0.9480949108275262	0.00025795775829842395	MLFH040420180321	5813
4.strong_>=0.8	8666	0.011715668128317565	0.02007843356534652	0.9464917082982431	0.9412057299668124	7.604212010147282e-05	MLFH040420180321	8716
SV_all	18936	0.012247761406844106	0.02131954240765252	0.9633004756949449	0.9509026768322	4.872630770383506e-05	MLFH040420180321	19074
1.untagged_<0.2	184	0.0187	0.030215114001612416	0.9844092961745545	0.9512006487065634	-0.0006048906381496651	MLFH040520180306	184
2.weak_0.2-0.5	4089	0.015264318904377598	0.026367185603409712	0.9675404612350126	0.9455886794567989	0.0009860855147645843	MLFH040520180306	4140
3.medium_0.5-0.8	5515	0.014580190389845876	0.024797118094697156	0.958212352325519	0.9366244554300537	0.001096635469984292	MLFH040520180306	5549
4.strong_>=0.8	8283	0.013475686345526984	0.02347254246717288	0.9377992867292667	0.9136192826621299	0.001127102624660239	MLFH040520180306	8320
SV_all	18071	0.014270680095180123	0.024633367931514827	0.9568325932112691	0.9339410900695998	0.0009152336927462123	MLFH040520180306	18193
1.untagged_<0.2	198	0.014740252525252524	0.024113909990926507	0.9887741105963	0.9577019550223799	0.0006654083837639682	MLFH040520180321	198
2.weak_0.2-0.5	4212	0.013447623456790124	0.023777610959255863	0.9713385061011809	0.9506193495829536	0.0009879792422421247	MLFH040520180321	4270
3.medium_0.5-0.8	5617	0.013238606017447035	0.02222238405982748	0.9646403712522797	0.9384924747849838	0.000686348284759456	MLFH040520180321	5653
4.strong_>=0.8	8398	0.01237619790426292	0.02110579139196205	0.9449641805652559	0.9278676299939548	0.0006044538047078816	MLFH040520180321	8449
SV_all	18425	0.012909444776119404	0.022115136761894246	0.9625030382075331	0.9408002463970268	0.0006001871109757827	MLFH040520180321	18570
1.untagged_<0.2	175	0.02319217142857143	0.03851046852109548	0.9753428424847689	0.9456593358840435	0.0007325611567854299	MLFH040520190208	175
2.weak_0.2-0.5	3854	0.017183160352880124	0.035753554514268565	0.9462822886836918	0.9316832075825137	0.0015391601904382593	MLFH040520190208	3894
3.medium_0.5-0.8	5142	0.016767337611824192	0.03429009959905948	0.936380749184225	0.9192353833413232	0.0019080437702957797	MLFH040520190208	5170
4.strong_>=0.8	7829	0.015355899859496742	0.032428335894475295	0.907702740030044	0.8920999276158922	0.002179106646275811	MLFH040520190208	7863
