model,cls,axis,n_blocks,z_nominal,z_honest_perm,z_honest_emp,max_z,hits_nominal,hits_honest_perm,hits_honest_emp
binomial,snp,bio17,56846,4.779291636472057,6.477023275768772,6.216127768314658,5.393244502748025,3,0,0
binomial,snp,bio18,56846,4.779291636472057,6.477023275768772,6.38927705378859,5.735684577012645,4,0,0
binomial,snp,bio19,56846,4.779291636472057,6.477023275768772,6.60633524677783,6.007972642456672,4,0,0
binomial,snp,bio1,56846,4.779291636472057,6.477023275768772,5.654190856259515,5.240448118012025,1,0,0
binomial,snp,bio2,56846,4.779291636472057,6.477023275768772,6.156350763690845,5.328232450286204,4,0,0
binomial,snp,bio3,56846,4.779291636472057,6.477023275768772,5.912306218173902,5.256422818713614,4,0,0
binomial,snp,bio4,56846,4.779291636472057,6.477023275768772,6.052701216566364,5.819250498542792,2,0,0
binomial,snp,bio5,56846,4.779291636472057,6.477023275768772,6.226804029421832,6.108243165298464,4,0,0
binomial,snp,bio6,56846,4.779291636472057,6.477023275768772,6.024897081757059,6.188690185269169,3,0,1
binomial,snp,bio7,56846,4.779291636472057,6.477023275768772,6.075884440929208,5.921949832875019,4,0,0
binomial,snp,bio8,56846,4.779291636472057,6.477023275768772,6.600083012235943,5.900214005419462,5,0,0
binomial,snp,bio9,56846,4.779291636472057,6.477023275768772,5.9616366770386255,6.09359971625164,2,0,1
binomial,sv,bio10,4520,4.242301762633215,5.240899410710076,7.608184202361397,5.1875939014995645,1,0,0
binomial,sv,bio11,4520,4.242301762633215,5.240899410710076,4.936975060942726,4.615715740076147,1,0,0
binomial,sv,bio12,4520,4.242301762633215,5.240899410710076,5.3155063281025345,4.442147588620585,1,0,0
binomial,sv,bio13,4520,4.242301762633215,5.240899410710076,4.874114105848371,4.513624717762424,1,0,0
binomial,sv,bio14,4520,4.242301762633215,5.240899410710076,8.633359704858412,4.168917776553617,0,0,0
binomial,sv,bio15,4520,4.242301762633215,5.240899410710076,4.989611157529531,4.303489851599627,1,0,0
binomial,sv,bio16,4520,4.242301762633215,5.240899410710076,5.223663693526293,4.79161840183712,1,0,0
binomial,sv,bio17,4520,4.242301762633215,5.240899410710076,8.254927678115049,4.485337424145979,1,0,0
binomial,sv,bio18,4520,4.242301762633215,5.240899410710076,7.659736607928448,5.047151303221462,2,0,0
binomial,sv,bio19,4520,4.242301762633215,5.240899410710076,5.164647886893084,4.590523378614559,1,0,0
binomial,sv,bio1,4520,4.242301762633215,5.240899410710076,8.928326002709499,5.79242473077227,1,1,0
binomial,sv,bio2,4520,4.242301762633215,5.240899410710076,4.045153233118708,3.8986727467898286,0,0,0
binomial,sv,bio3,4520,4.242301762633215,5.240899410710076,12.633347314674225,5.127895267070277,1,0,0
binomial,sv,bio4,4520,4.242301762633215,5.240899410710076,3.5194000367824954,3.5082085937034804,0,0,0
binomial,sv,bio5,4520,4.242301762633215,5.240899410710076,7.67695022840701,6.079943716068373,2,1,0
binomial,sv,bio6,4520,4.242301762633215,5.240899410710076,4.915920616584753,4.3302429395226785,1,0,0
binomial,sv,bio7,4520,4.242301762633215,5.240899410710076,3.8549004592532556,3.667830674479243,0,0,0
binomial,sv,bio8,4520,4.242301762633215,5.240899410710076,4.564736065771923,4.209127277591777,0,0,0
binomial,sv,bio9,4520,4.242301762633215,5.240899410710076,5.9595484381463315,4.750595512213277,1,0,0
kendall,nonsnp,bio10,41908,4.71762147723684,6.624461829627677,6.152628897269254,5.087485821874738,5,0,0
kendall,nonsnp,bio11,41908,4.71762147723684,6.624461829627677,6.995492170715725,6.440326945943692,9,0,0
kendall,nonsnp,bio12,41908,4.71762147723684,6.624461829627677,6.568218207113825,5.495410199896175,10,0,0
kendall,nonsnp,bio13,41908,4.71762147723684,6.624461829627677,6.743189983051973,5.508256238239887,10,0,0
kendall,nonsnp,bio14,41908,4.71762147723684,6.624461829627677,6.874630840394376,6.015695076391893,10,0,0
kendall,nonsnp,bio15,41908,4.71762147723684,6.624461829627677,6.800079496569946,6.245419518273586,12,0,0
kendall,nonsnp,bio16,41908,4.71762147723684,6.624461829627677,7.699796491261157,6.7789159676001045,10,1,0
kendall,nonsnp,bio17,41908,4.71762147723684,6.624461829627677,6.932604184279354,6.047254115771666,10,0,0
kendall,nonsnp,bio18,41908,4.71762147723684,6.624461829627677,6.9015672648780875,5.943195743015856,7,0,0
kendall,nonsnp,bio19,41908,4.71762147723684,6.624461829627677,6.795021249771473,5.723817122894341,9,0,0
kendall,nonsnp,bio1,41908,4.71762147723684,6.624461829627677,6.643365843120674,5.955410065077551,4,0,0
kendall,nonsnp,bio2,41908,4.71762147723684,6.624461829627677,7.953628564373891,6.999642232067162,16,1,0
kendall,nonsnp,bio3,41908,4.71762147723684,6.624461829627677,6.237692265664698,5.49016527800122,7,0,0
kendall,nonsnp,bio4,41908,4.71762147723684,6.624461829627677,7.027972138494685,5.8328779169793785,10,0,0
kendall,nonsnp,bio5,41908,4.71762147723684,6.624461829627677,6.712868935914194,5.629107358045481,8,0,0
