panel	ecotype	layout	gz_r1	gz_r2	n_r1	n_r2	pair_ok	bases_total	cov_est	lmin_r1	lmax_r1	lmean_r1	lmin_r2	lmax_r2	lmean_r2
main	9510	PE	OK	OK	14726563	14726563	yes	2771097005	23.15	36	100	94.3	36.0	100.0	93.9
loo	8231	PE	OK	OK	20098219	20098219	yes	2876465031	24.03	36	76	70.8	36.0	76.0	72.3
main	9723	PE	OK	OK	7823804	7823804	yes	1531292116	12.79	36	100	98.2	36.0	100.0	97.5
main	9394	PE	OK	OK	33038772	33038772	yes	4908345133	41.01	36	76	74.3	36.0	76.0	74.2
main	8357	PE	OK	OK	64477414	64477414	yes	12433778457	103.87	36	101	96.2	36.0	101.0	96.6
main	9965	SE	OK		57156905	0		2852065374	23.83	36	64	49.9			
main	9517	PE	OK	OK	9595958	9595958	yes	1827039507	15.26	36	100	94.5	36.0	100.0	95.9
main	9649	PE	OK	OK	11418494	11418494	yes	2235738707	18.68	36	100	97.7	36.0	100.0	98.1
main	9698	PE	OK	OK	12484222	12484222	yes	2439215872	20.38	36	100	97.4	36.0	100.0	98.0
loo	6150	PE	OK	OK	27316501	27316501	yes	3968214172	33.15	36	76	71.4	36.0	76.0	73.9
main	9522	PE	OK	OK	13000101	13000101	yes	2476166549	20.69	36	100	94.5	36.0	100.0	95.9
loo	7255	PE	OK	OK	8715226	8715226	yes	1680459648	14.04	36	101	97.2	36.0	101.0	95.6
loo	10006	SE	OK		28974004	0		1183115489	9.88	36	64	40.8			
main	9632	PE	OK	OK	8756817	8756817	yes	1719615827	14.37	36	100	97.9	36.0	100.0	98.4
loo	6938	PE	OK	OK	15242111	15242111	yes	2955462077	24.69	36	101	96.7	36.0	101.0	97.2
main	7333	PE	OK	OK	6414233	6414233	yes	1195596354	9.99	36	101	92.4	36.0	101.0	94.0
main	9716	PE	OK	OK	9928179	9928179	yes	1921783840	16.06	36	100	97.4	36.0	100.0	96.2
main	9640	PE	OK	OK	11325761	11325761	yes	2198417490	18.37	36	100	97.6	36.0	100.0	96.5
loo	763	PE	OK	OK	17916353	17916353	yes	3499421057	29.23	36	101	97.4	36.0	101.0	97.9
main	9586	PE	OK	OK	14181543	14181543	yes	2662490464	22.24	36	100	95.2	36.0	100.0	92.6
main	9925	PE	OK	OK	12195861	12195861	yes	2391953955	19.98	36	100	98.5	36.0	100.0	97.7
loo	7378	PE	OK	OK	8345752	8345752	yes	1605813638	13.42	36	101	95.9	36.0	101.0	96.5
main	5151	PE	OK	OK	10932134	10932134	yes	2145398343	17.92	36	100	97.5	36.0	100.0	98.7
main	7273	PE	OK	OK	26559047	26559047	yes	2692092278	22.49	36	51	50.7	36.0	51.0	50.7
main	9933	PE	OK	OK	15213804	15213804	yes	2974731379	24.85	36	100	98.2	36.0	100.0	97.3
main	9775	PE	OK	OK	21365044	21365044	yes	4056912692	33.89	36	100	95.7	36.0	100.0	94.2
loo	7002	PE	OK	OK	45228971	45228971	yes	8735784417	72.98	36	101	96.4	36.0	101.0	96.8
main	9597	PE	OK	OK	15349024	15349024	yes	2805476520	23.44	36	100	89.7	36.0	100.0	93.1
loo	772	PE	OK	OK	12925946	12925946	yes	2421047496	20.23	36	101	95.6	36.0	101.0	91.7
main	9534	PE	OK	OK	17549376	17549376	yes	3354795828	28.03	36	100	96.1	36.0	100.0	95.1
loo	6929	PE	OK	OK	11065966	11065966	yes	2066032896	17.26	36	101	95.8	36.0	101.0	90.9
main	9548	PE	OK	OK	18300494	18300494	yes	3396999397	28.38	36	100	93.8	36.0	100.0	91.8
main	10011	SE	OK		42944220	0		2077586536	17.36	36	64	48.4			
loo	7411	PE	OK	OK	9198543	9198543	yes	1788881194	14.94	36	101	96.7	36.0	101.0	97.8
main	9941	SE	OK		15990479	0		639965210	5.35	36	42	40.0			
main	9749	PE	OK	OK	10100580	10100580	yes	1947541170	16.27	36	100	95.4	36.0	100.0	97.4
main	9857	PE	OK	OK	6928176	6928176	yes	1371160722	11.45	36	100	98.9	36.0	100.0	99.0
main	6195	PE	OK	OK	26553295	26553295	yes	3747390508	31.31	36	76	67.8	36.0	76.0	73.3
main	9574	PE	OK	OK	14732204	14732204	yes	2762815166	23.08	36	100	93.1	36.0	100.0	94.4
main	9481	PE	OK	OK	23309713	23309713	yes	3441447861	28.75	36	76	74.0	36.0	76.0	73.7
loo	6915	PE	OK	OK	11361930	11361930	yes	2204952198	18.42	36	101	97.1	36.0	101.0	97.0
