,gene,SNPs,hits,Z,top_candidate_p
353,1_1751,16,1,1.0378562459290137,0.1485422289051245
356,1_1754,9,0,1.0113542055392146,1.0
357,1_1755,23,1,1.2011894609486333,0.20638571635634465
358,1_1756,3,0,1.0573426156177324,1.0
359,1_176,1,0,1.6469072766702135,1.0
360,1_1760,2,1,3.228131574611997,0.01990000000000002
361,1_1761,29,3,4.482234599399218,0.0030081981768577204
362,1_1766,1,0,0.8887591766251006,1.0
363,1_1767,7,0,0.48374123005543,1.0
364,1_1772,3,2,1.226331148898162,0.0002980000000000005
365,1_1773,12,2,5.292531310159222,0.006174537772824754
366,1_1775,1,0,0.07177558882286,1.0
367,1_1776,1,0,1.9884723686086196,1.0
368,1_178,1,0,1.3377536980592828,1.0
369,1_1785,1,0,1.6603307644967344,1.0
370,1_1786,9,0,0.39120148296942897,1.0
371,1_1787,1,0,1.2205310666733007,1.0
372,1_179,1,0,1.6802340132328921,1.0
373,1_1793,3,0,0.515285165278142,1.0
374,1_1794,1,0,1.1478994870343424,1.0
375,1_1799,1,0,0.11296354126897211,1.0
376,1_180,27,1,3.4532907789464926,0.23765728565289646
377,1_1800,5,2,3.972958775239396,0.0009801496000000018
378,1_1801,18,1,3.6912820379034996,0.16548623854991254
379,1_1808,21,2,0.8921935574750892,0.01851167488332298
380,1_1811,1,0,-0.45338896651895527,1.0
381,1_1815,11,0,-0.07847358627903056,1.0
382,1_1817,2,0,0.010438421456329504,1.0
383,1_1820,1,0,0.18857490858912204,1.0
384,1_1821,20,0,-0.0198422710961545,1.0
385,1_1822,3,0,0.23302606334440948,1.0
386,1_1823,2,0,0.7058314446423622,1.0
387,1_1824,6,2,0.8771254243475156,0.0014604476050000025
388,1_1825,1,0,1.1743252131905884,1.0
389,1_1826,3,0,-1.6723318149897102,1.0
390,1_1828,1,0,1.2198629315870717,1.0
391,1_1829,5,0,-1.0598132301364738,1.0
393,1_1830,1,0,1.5157231950082506,1.0
394,1_1845,6,0,1.9762726920159137,1.0
395,1_185,1,0,-0.5851688319373352,1.0
396,1_1853,1,0,0.4209432256805119,1.0
397,1_1854,1,0,1.6703790092357906,1.0
400,1_1864,2,0,-0.20360048392441188,1.0
401,1_187,2,0,1.5221821084675136,1.0
402,1_1874,5,0,1.669185482735154,1.0
403,1_1875,1,0,0.6118475897362861,1.0
404,1_1878,20,0,1.6652631811296281,1.0
405,1_1879,3,0,-0.09843499067576143,1.0
406,1_188,2,0,0.5159862342095196,1.0
407,1_1881,1,0,0.22651015746539957,1.0
408,1_1884,3,0,1.5336265665734539,1.0
409,1_1887,20,0,-0.5012229770837566,1.0
410,1_1889,13,3,2.415720766959018,0.00026530529471721815
411,1_189,3,0,-0.7475288876454435,1.0
412,1_1890,15,0,0.9140954838720565,1.0
413,1_1892,1,0,-0.42614545509855545,1.0
414,1_1893,3,1,-0.38387342483885184,0.029701000000000026
415,1_1894,1,0,1.2393792342129486,1.0
416,1_1898,3,0,0.22720434397887745,1.0
417,1_1899,3,0,1.6710235943038516,1.0
419,1_1900,1,0,1.0883390895477985,1.0
420,1_1901,4,1,1.6569718499847714,0.039403990000000035
